"","Id","name","popularity","followers","profile","images","genre"
"125",315,"Joe Jackson",57,354453,"https://open.spotify.com/artist/6KOqPxwfNAmZPkiCnDE9yT","https://i.scdn.co/image/110f89032c6e6a97a5002758a667671a2c2ec5ae","art rock"
"126",318,"Bryan Ferry",61,519697,"https://open.spotify.com/artist/5RNFFojXkPRmlJZIwXeKQC","https://i.scdn.co/image/ab67616100005174039e35b7703bade5d61bd906","art rock"
"127",319,"Thompson Twins",53,588363,"https://open.spotify.com/artist/5jVeqi3PNaTOajfvBa4uFn","https://i.scdn.co/image/ab67616100005174e1d9c03cc2d86e3babc83c59","new romantic"
"128",330,"Honeymoon Suite",44,106703,"https://open.spotify.com/artist/7kFyhQTV7cbd3iSYW2yt1Q","https://i.scdn.co/image/ab67616100005174f2fd95e6a237fcf9d5e81368","canadian metal"
"129",332,"Red Rider",46,81518,"https://open.spotify.com/artist/4EGlaDAVZTNNknDdKHrHRp","https://i.scdn.co/image/119631d62c1c428a67af71aac0244d7a31419c86","classic canadian rock"
"130",333,"Platinum Blonde",36,49477,"https://open.spotify.com/artist/5oxTKyMgf6POnzlqM1mduA","https://i.scdn.co/image/77ba4ce76f7dad558c3341da762ecc9f922c8295",NA
"131",337,"Gowan",36,40703,"https://open.spotify.com/artist/732h1QEXVf21E1QTOmOAQY","https://i.scdn.co/image/cb71db74c5f4b7814bfe29294a62fbef44a97f2e",NA
"132",338,"Benjamin Orr",38,14753,"https://open.spotify.com/artist/6FV7vG3YdZqITxCEbUK98Y","https://i.scdn.co/image/0752abd08d9bf1c28b84a2af6d3f43f7764e6732",NA
"133",340,"Tom Cochrane",54,68401,"https://open.spotify.com/artist/5Jj4mqGYiplyowPLKkJLHt","https://i.scdn.co/image/ab6761610000517494f10b4dcc21643b18de8eef","classic canadian rock"
"134",356,"Player",57,120917,"https://open.spotify.com/artist/0fgtHVpOPfXb07S8Jx443z","https://i.scdn.co/image/635cb07d65810d2dcb6c1219612e6f210aac48a2","soft rock"
"135",359,"England Dan & John Ford Coley",60,246682,"https://open.spotify.com/artist/01W8kYNqFHyKicPfR0pLwO","https://i.scdn.co/image/ab67616d00001e02b28344e9f8f359a95aa9cfe6","bubblegum pop"
"136",370,"Art Garfunkel",52,507678,"https://open.spotify.com/artist/6kEsKkXuE4olX7m3mNLZkS","https://i.scdn.co/image/225d07c2114bf7b48176a02037c3eedf5f854c17","folk"
"137",372,"David Gates",50,168816,"https://open.spotify.com/artist/5BmXbfqAgfkuTkPlVQDKOW","https://i.scdn.co/image/8accf4a163624757776ff0ea758d6afeccd11ce2","country rock"
"138",376,"Bread",68,1421118,"https://open.spotify.com/artist/70ZTdbPEcEugBNay4MvxfL","https://i.scdn.co/image/092947796bb76c60e9cf3c5a9f93166833ee08dc","folk rock"
"139",378,"Rita Coolidge",54,210672,"https://open.spotify.com/artist/1vnIL4DMlivP55ioM6KitW","https://i.scdn.co/image/ea780f952e56bd2e05d5bbdbaee6e7e141bcc19b","bubblegum pop"
"140",379,"Captain & Tennille",56,410280,"https://open.spotify.com/artist/7BEfMxbaqx6dOpbtlEqScm","https://i.scdn.co/image/4f2f9946d13c03740d4a033c662bb3995d0c00e1","bubblegum pop"
"141",380,"Melissa Manchester",45,196290,"https://open.spotify.com/artist/78udmCDNaDu5jqfVnBqwia","https://i.scdn.co/image/ab67616100005174b3264495f758dc8bc140be96","bubblegum pop"
"142",382,"Robbie Dupree",48,49077,"https://open.spotify.com/artist/3jrgftS3TYbNxcPt5itKhz","https://i.scdn.co/image/53acd090ea1f5f1fdae4bcd2d27a96f71898c992","soft rock"
"143",389,"Bertie Higgins",45,18929,"https://open.spotify.com/artist/4qzZ6bMrjK27yHGVjs4Pvq","https://i.scdn.co/image/ca54b7e21ad6afb8412d21b2063ace6297d386d6",NA
"144",399,"Robert John",43,14835,"https://open.spotify.com/artist/3pbKylceBTiUa0fZk4J4sJ","https://i.scdn.co/image/ab67616d00001e021be24704f79a13b31882c1db","soft rock"
