"","Vertex1","Vertex2"
"3845","firefall","the cars"
"3846","mike + the mechanics","the j. geils band"
"3847","the doobie brothers","billy squier"
"3848","boz scaggs","howard jones"
"3849","the j. geils band","abc"
"3850","rick springfield","the romantics"
"3851","jackson browne","joe jackson"
"3852","38 special","nik kershaw"
"3853","wang chung","bryan ferry"
"3854","atlanta rhythm section","thompson twins"
"3855","shawn mullins","corey hart"
"3856","jackson browne","lou gramm"
"3857","melissa etheridge","rick springfield"
"3858","joshua kadison","steve perry"
"3859","bonnie raitt","john waite"
"3860","shawn colvin","honeymoon suite"
"3861","natalie merchant","quarterflash"
"3862","sheryl crow","red rider"
"3863","jennifer warnes","platinum blonde"
"3864","amanda marshall","starship"
"3865","carole king","glenn frey"
"3866","tracy chapman","wang chung"
"3867","van morrison","gowan"
"3868","bruce springsteen","benjamin orr"
"3869","billy joel","huey lewis & the news"
"3870","carly simon","tom cochrane"
"3871","steve perry","gary wright"
"3872","eric carmen","ambrosia"
"3873","glass tiger","paul davis"
"3874","paul carrack","the ozark mountain daredevils"
"3875","john waite","player"
"3876","lou gramm","atlanta rhythm section"
"3877","christopher cross","stephen bishop"
"3878","sheena easton","england dan & john ford coley"
"3879","corey hart","firefall"
"3880","john parr","loggins & messina"
"3881","starship","stephen bishop"
"3882","go west","england dan & john ford coley"
"3883","glenn frey","art garfunkel"
"3884","glass tiger","david gates"
"3885","richard marx","ambrosia"
"3886","steve perry","harry chapin"
"3887","the power station","jd souther"
"3888","lou gramm","bread"
"3889","huey lewis & the news","rita coolidge"
"3890","kim carnes","captain & tennille"
"3891","nik kershaw","melissa manchester"
"3892","cutting crew","robbie dupree"
"3893","paul carrack","player"
"3894","richard marx","stephen bishop"
"3895","robert palmer","nicolette larson"
"3896","nik kershaw","bertie higgins"
"3897","level 42","bob welch"
"3898","the hooters","christopher cross"
"3899","don henley","england dan & john ford coley"
"3900","chris de burgh","melissa manchester"
"3901","go west","captain & tennille"
"3902","fine young cannibals","dan fogelberg"
"3903","bruce hornsby","robert john"
"3904","james taylor","glenn frey"
"3905","crosby, stills & nash","steve winwood"
"3906","don henley","huey lewis & the news"
"3907","warren zevon","jefferson starship"
"3908","dan fogelberg","john mellencamp"
"3909","jim croce","jackson browne"
"3910","gordon lightfoot","rick springfield"
"3911","pure prairie league","little river band"
"3912","dave mason","the j. geils band"
"3913","boz scaggs","mr. mister"
"3914","bruce hornsby","joe walsh"
"3915","van morrison","loverboy"
"3916","stephen stills","the doobie brothers"
"3917","christine mcvie","don henley"
"3918","pete townshend","bruce hornsby"
"3919","warren zevon","glenn frey"
"3920","al stewart","mr. mister"
"3921","traveling wilburys","boz scaggs"
"3922","julian lennon","rick springfield"
"3923","boz scaggs","jackson browne"
"3924","todd rundgren","38 special"
"3925","robert plant","wang chung"
"3926","pretenders","atlanta rhythm section"
"3927","mudcrutch","christopher cross"
"3928","lou gramm","shawn mullins"
"3929","quarterflash","joan osborne"
"3930","glass tiger","melissa etheridge"
"3931","glenn frey","joshua kadison"
"3932","corey hart","bonnie raitt"
"3933","eddie money","shawn colvin"
"3934","cutting crew","natalie merchant"
"3935","night ranger","jennifer warnes"
"3936","jefferson starship","carole king"
"3937","starship","tracy chapman"
"3938","the babys","bruce springsteen"
"3939","john parr","billy joel"
"3940","huey lewis & the news","carly simon"
"3941","gary wright","mr. mister"
"3942","little river band","steve perry"
"3943","ambrosia","paul davis"
"3944","the babys","eric carmen"
"3945","joe walsh","peter cetera"
"3946","loverboy","quarterflash"
"3947","38 special","daryl hall"
"3948","three dog night","christopher cross"
"3949","paul davis","sheena easton"
"3950","bachman-turner overdrive","ambrosia"
"3951","billy squier","corey hart"
"3952","38 special","john parr"
"3953","the j. geils band","starship"
"3954","don henley","john waite"
"3955","boston","rick springfield"
"3956","bachman-turner overdrive","glass tiger"
"3957","styx","richard marx"
"3958","heart","steve perry"
"3959","sammy hagar","the power station"
"3960","the babys","lou gramm"
"3961","head east","paul young"
"3962","pat benatar","huey lewis & the news"
"3963","night ranger","kim carnes"
"3964","john mellencamp","nik kershaw"
"3965","little river band","richard marx"
"3966","atlanta rhythm section","level 42"
"3967","gino vannelli","the hooters"
"3968","paul davis","chris de burgh"
"3969","poco","cock robin"
"3970","michael mcdonald","fine young cannibals"
"3971","donald fagen","bruce hornsby"
"3972","jonathan edwards","crosby, stills & nash"
"3973","dan fogelberg","poco"
"3974","poco","don henley"
"3975","jd souther","jim croce"
"3976","the ozark mountain daredevils","gordon lightfoot"
"3977","pablo cruise","pure prairie league"
"3978","harry chapin","seals and crofts"
"3979","jesse colin young","firefall"
"3980","orleans","dave mason"
"3981","atlanta rhythm section","boz scaggs"
"3982","jefferson starship","van morrison"
"3983","crosby, stills & nash","stephen stills"
"3984","pure prairie league","christine mcvie"
"3985","jd souther","pete townshend"
"3986","dave mason","don henley"
"3987","jesse colin young","jackson browne"
"3988","jonathan edwards","bob welch"
"3989","stephen stills","al stewart"
"3990","new riders of the purple sage","traveling wilburys"
"3991","jefferson starship","jeff lynne"
"3992","pablo cruise","todd rundgren"
"3993","orleans","joe walsh"
"3994","bob welch","robert plant"
"3995","crosby, stills & nash","pretenders"
"3996","little river band","mudcrutch"
"3997","glenn frey","glass tiger"
"3998","pat benatar","glenn frey"
"3999","daryl hall & john oates","eddie money"
"4000","38 special","night ranger"
"4001","kenny loggins","38 special"
"4002","corey hart","jefferson starship"
"4003","the cars","the babys"
"4004","the j. geils band","john parr"
"4005","billy squier","huey lewis & the news"
"4006","fine young cannibals","head east"
"4007","level 42","gary wright"
"4008","the power station","firefall"
"4009","huey lewis & the news","pablo cruise"
"4010","howard jones","eddie money"
"4011","abc","loverboy"
"4012","joe jackson","poco"
"4013","bryan ferry","three dog night"
"4014","thompson twins","paul davis"
"4015","rick springfield","bachman-turner overdrive"
"4016","corey hart","loverboy"
"4017","john parr","billy squier"
"4018","lou gramm","38 special"
"4019","cutting crew","the j. geils band"
"4020","loverboy","reo speedwagon"
"4021","john waite","huey lewis & the news"
"4022","honeymoon suite","joe walsh"
"4023","quarterflash","boston"
"4024","red rider","bachman-turner overdrive"
"4025","platinum blonde","styx"
"4026","starship","heart"
"4027","glenn frey","sammy hagar"
"4028","gowan","head east"
"4029","benjamin orr","pat benatar"
"4030","huey lewis & the news","night ranger"
"4031","tom cochrane","john mellencamp"
"4032","pure prairie league","stephen bishop"
"4033","poco","orleans"
"4034","the ozark mountain daredevils","jefferson starship"
"4035","loggins & messina","dan fogelberg"
"4036","dan fogelberg","paul davis"
"4037","player","pure prairie league"
"4038","atlanta rhythm section","nicolette larson"
"4039","stephen bishop","michael mcdonald"
"4040","england dan & john ford coley","donald fagen"
"4041","dave mason","bob welch"
"4042","seals and crofts","pure prairie league"
"4043","firefall","jonathan edwards"
"4044","stephen bishop","seals and crofts"
"4045","paul davis","poco"
"4046","england dan & john ford coley","jd souther"
"4047","poco","harry chapin"
"4048","david gates","jesse colin young"
"4049","harry chapin","atlanta rhythm section"
"4050","jd souther","little river band"
"4051","bread","jefferson starship"
"4052","rita coolidge","bob welch"
"4053","captain & tennille","ambrosia"
"4054","melissa manchester","crosby, stills & nash"
"4055","robbie dupree","jd souther"
"4056","pablo cruise","the ozark mountain daredevils"
"4057","nicolette larson","jesse colin young"
"4058","bertie higgins","jonathan edwards"
"4059","bob welch","stephen stills"
"4060","christopher cross","chris hillman"
"4061","little river band","new riders of the purple sage"
"4062","melissa manchester","dan fogelberg"
"4063","captain & tennille","pablo cruise"
"4064","robert john","crosby, stills & nash"
"4065","glenn frey","fine young cannibals"
"4066","steve winwood","level 42"
"4067","john mellencamp","wang chung"
"4068","mr. mister","the romantics"
"4069","joe walsh","joe jackson"
"4070","loverboy","nik kershaw"
"4071","firefall","bryan ferry"
"4072","mike + the mechanics","thompson twins"
"4073","the doobie brothers","rick springfield"
"4074","robert palmer","cutting crew"
"4075","mike + the mechanics","loverboy"
"4076","eddie money","steve perry"
"4077","little river band","john waite"
"4078","mr. mister","honeymoon suite"
"4079","boz scaggs","red rider"
"4080","the j. geils band","platinum blonde"
"4081","38 special","wang chung"
"4082","glass tiger","gowan"
"4083","wang chung","benjamin orr"
"4084","christopher cross","tom cochrane"
"4085","shawn mullins","pablo cruise"
"4086","bruce hornsby","orleans"
"4087","joan osborne","bob welch"
"4088","james taylor","little river band"
"4089","melissa etheridge","ambrosia"
"4090","joshua kadison","pure prairie league"
"4091","bonnie raitt","poco"
"4092","shawn colvin","paul davis"
"4093","sheryl crow","the ozark mountain daredevils"
"4094","jennifer warnes","loggins & messina"
"4095","carole king","nicolette larson"
"4096","tracy chapman","player"
"4097","van morrison","atlanta rhythm section"
"4098","bruce springsteen","stephen bishop"
"4099","billy joel","england dan & john ford coley"
"4100","carly simon","dave mason"
"4101","steve perry","stephen bishop"
"4102","paul davis","orleans"
"4103","eric carmen","pablo cruise"
"4104","glass tiger","art garfunkel"
"4105","peter cetera","poco"
"4106","paul carrack","david gates"
"4107","daryl hall","harry chapin"
"4108","starship","jd souther"
"4109","john waite","bread"
"4110","christopher cross","rita coolidge"
"4111","sheena easton","captain & tennille"
"4112","ambrosia","melissa manchester"
"4113","corey hart","robbie dupree"
"4114","john parr","player"
"4115","john waite","nicolette larson"
"4116","richard marx","england dan & john ford coley"
"4117","steve perry","melissa manchester"
"4118","lou gramm","captain & tennille"
"4119","huey lewis & the news","dan fogelberg"
"4120","kim carnes","robert john"
"4121","nik kershaw","david gates"
"4122","cutting crew","steve winwood"
"4123","richard marx","huey lewis & the news"
"4124","johnny hates jazz","jefferson starship"
"4125","robert palmer","john mellencamp"
"4126","level 42","little river band"
"4127","the hooters","38 special"
"4128","chris de burgh","mr. mister"
"4129","cock robin","joe walsh"
"4130","go west","loverboy"
"4131","fine young cannibals","firefall"
"4132","bruce hornsby","mike + the mechanics"
"4133","glass tiger","the doobie brothers"
"4134","warren zevon","mike + the mechanics"
"4135","jim croce","eddie money"
"4136","firefall","boz scaggs"
"4137","boz scaggs","rick springfield"
"4138","bruce hornsby","jackson browne"
"4139","van morrison","38 special"
"4140","stephen stills","christopher cross"
"4141","christine mcvie","shawn mullins"
"4142","warren zevon","jackson browne"
"4143","glenn frey","joan osborne"
"4144","jackson browne","melissa etheridge"
"4145","al stewart","shawn colvin"
"4146","traveling wilburys","sheryl crow"
"4147","jeff lynne","jennifer warnes"
"4148","julian lennon","amanda marshall"
"4149","boz scaggs","carole king"
"4150","todd rundgren","tracy chapman"
"4151","joe walsh","van morrison"
"4152","robert plant","bruce springsteen"
"4153","pretenders","billy joel"
"4154","mudcrutch","carly simon"
"4155","john waite","mr. mister"
"4156","glass tiger","eric carmen"
"4157","eddie money","glass tiger"
"4158","cutting crew","peter cetera"
"4159","night ranger","quarterflash"
"4160","jefferson starship","starship"
"4161","the babys","christopher cross"
"4162","john parr","sheena easton"
"4163","huey lewis & the news","ambrosia"
"4164","head east","cutting crew"
"4165","gary wright","corey hart"
"4166","ambrosia","wang chung"
"4167","the j. geils band","go west"
"4168","joe walsh","rick springfield"
"4169","loverboy","richard marx"
"4170","three dog night","huey lewis & the news"
"4171","paul davis","kim carnes"
"4172","bachman-turner overdrive","nik kershaw"
"4173","billy squier","cutting crew"
"4174","38 special","paul carrack"
"4175","don henley","robert palmer"
"4176","huey lewis & the news","nik kershaw"
"4177","joe walsh","level 42"
"4178","boston","the hooters"
"4179","bachman-turner overdrive","glenn frey"
"4180","styx","don henley"
"4181","heart","chris de burgh"
"4182","sammy hagar","cock robin"
"4183","the babys","go west"
"4184","head east","starship"
"4185","pat benatar","fine young cannibals"
"4186","night ranger","bruce hornsby"
"4187","pablo cruise","crosby, stills & nash"
"4188","stephen bishop","jim croce"
"4189","orleans","gordon lightfoot"
"4190","gino vannelli","seals and crofts"
"4191","paul davis","boz scaggs"
"4192","poco","bruce hornsby"
"4193","michael mcdonald","jefferson starship"
"4194","donald fagen","little river band"
"4195","jonathan edwards","pete townshend"
"4196","dan fogelberg","warren zevon"
"4197","dave mason","jackson browne"
"4198","the ozark mountain daredevils","bob welch"
"4199","pablo cruise","al stewart"
"4200","jesse colin young","traveling wilburys"
"4201","orleans","jeff lynne"
"4202","atlanta rhythm section","julian lennon"
"4203","jefferson starship","todd rundgren"
"4204","ambrosia","pretenders"
"4205","crosby, stills & nash","mudcrutch"
"4206","jd souther","john waite"
"4207","firefall","rick springfield"
"4208","stephen stills","eddie money"
"4209","chris hillman","cutting crew"
"4210","jefferson starship","night ranger"
"4211","bob welch","the babys"
"4212","rick springfield","head east"
"4213","reo speedwagon","ambrosia"
"4214","glenn frey","the babys"
"4215","pat benatar","the j. geils band"
"4216","daryl hall & john oates","pablo cruise"
"4217","the romantics","eddie money"
"4218","38 special","loverboy"
"4219","robert palmer","orleans"
"4220","the cars","three dog night"
"4221","the j. geils band","paul davis"
"4222","billy squier","bachman-turner overdrive"
"4223","fine young cannibals","loverboy"
"4224","level 42","billy squier"
"4225","the power station","38 special"
"4226","huey lewis & the news","joe walsh"
"4227","glenn frey","boston"
"4228","howard jones","bachman-turner overdrive"
"4229","abc","styx"
"4230","the romantics","heart"
"4231","joe jackson","sammy hagar"
"4232","nik kershaw","the babys"
"4233","bryan ferry","pat benatar"
"4234","thompson twins","night ranger"
"4235","john parr","pablo cruise"
"4236","honeymoon suite","atlanta rhythm section"
"4237","quarterflash","gino vannelli"
"4238","red rider","jefferson starship"
"4239","platinum blonde","dan fogelberg"
"4240","starship","paul davis"
"4241","wang chung","pure prairie league"
"4242","gowan","nicolette larson"
"4243","benjamin orr","michael mcdonald"
"4244","huey lewis & the news","donald fagen"
"4245","tom cochrane","bob welch"
"4246","gary wright","seals and crofts"
"4247","pure prairie league","jd souther"
"4248","poco","the ozark mountain daredevils"
"4249","the ozark mountain daredevils","jesse colin young"
"4250","loggins & messina","orleans"
"4251","dan fogelberg","atlanta rhythm section"
"4252","nicolette larson","little river band"
"4253","player","jefferson starship"
"4254","stephen bishop","bob welch"
"4255","england dan & john ford coley","ambrosia"
"4256","dave mason","crosby, stills & nash"
"4257","firefall","jd souther"
"4258","stephen bishop","the ozark mountain daredevils"
"4259","paul davis","loggins & messina"
"4260","pablo cruise","jesse colin young"
"4261","art garfunkel","stephen stills"
"4262","poco","chris hillman"
"4263","david gates","new riders of the purple sage"
"4264","harry chapin","dan fogelberg"
"4265","bread","pablo cruise"
"4266","captain & tennille","crosby, stills & nash"
"4267","melissa manchester","little river band"
"4268","robbie dupree","don henley"
"4269","stephen bishop","mr. mister"
"4270","nicolette larson","glenn frey"
"4271","orleans","pat benatar"
"4272","bertie higgins","starship"
"4273","bob welch","daryl hall & john oates"
"4274","christopher cross","steve perry"
"4275","little river band","the romantics"
"4276","england dan & john ford coley","38 special"
"4277","melissa manchester","kenny loggins"
"4278","captain & tennille","robert palmer"
"4279","dan fogelberg","the cars"
"4280","robert john","the j. geils band"
"4281","david gates","billy squier"
"4282","glenn frey","corey hart"
"4283","steve winwood","john parr"
"4284","jackson browne","steve perry"
"4285","little river band","honeymoon suite"
"4286","mr. mister","starship"
"4287","steve perry","gowan"
"4288","firefall","benjamin orr"
"4289","the doobie brothers","tom cochrane"
"4290","robert palmer","gary wright"
"4291","eddie money","pure prairie league"
"4292","boz scaggs","the ozark mountain daredevils"
"4293","wang chung","stephen bishop"
"4294","christopher cross","dave mason"
"4295","shawn mullins","seals and crofts"
"4296","bruce hornsby","firefall"
"4297","jackson browne","loggins & messina"
"4298","joan osborne","paul davis"
"4299","james taylor","orleans"
"4300","melissa etheridge","pablo cruise"
"4301","joshua kadison","england dan & john ford coley"
"4302","bonnie raitt","little river band"
"4303","shawn colvin","art garfunkel"
"4304","natalie merchant","poco"
"4305","sheryl crow","david gates"
"4306","jennifer warnes","ambrosia"
"4307","amanda marshall","harry chapin"
"4308","carole king","jd souther"
"4309","tracy chapman","bread"
"4310","bruce springsteen","rita coolidge"
"4311","billy joel","captain & tennille"
"4312","carly simon","melissa manchester"
"4313","mr. mister","robbie dupree"
"4314","cutting crew","player"
"4315","steve perry","pablo cruise"
"4316","eric carmen","nicolette larson"
"4317","peter cetera","christopher cross"
"4318","paul carrack","little river band"
"4319","quarterflash","england dan & john ford coley"
"4320","daryl hall","melissa manchester"
"4321","john waite","captain & tennille"
"4322","lou gramm","gary wright"
"4323","christopher cross","dan fogelberg"
"4324","sheena easton","robert john"
"4325","ambrosia","david gates"
"4326","corey hart","steve winwood"
"4327","john waite","john mellencamp"
"4328","go west","jackson browne"
"4329","richard marx","the j. geils band"
"4330","steve perry","mr. mister"
"4331","the power station","joe walsh"
"4332","huey lewis & the news","firefall"
"4333","kim carnes","mike + the mechanics"
"4334","nik kershaw","the doobie brothers"
"4335","johnny hates jazz","mike + the mechanics"
"4336","robert palmer","jefferson starship"
"4337","the hooters","ambrosia"
"4338","chris de burgh","rick springfield"
"4339","cock robin","jackson browne"
"4340","go west","38 special"
"4341","starship","glass tiger"
"4342","fine young cannibals","wang chung"
"4343","bruce hornsby","atlanta rhythm section"
"4344","glass tiger","christopher cross"
"4345","james taylor","shawn mullins"
"4346","don henley","joan osborne"
"4347","warren zevon","james taylor"
"4348","dan fogelberg","melissa etheridge"
"4349","jim croce","joshua kadison"
"4350","gordon lightfoot","bonnie raitt"
"4351","pure prairie league","shawn colvin"
"4352","seals and crofts","natalie merchant"
"4353","firefall","sheryl crow"
"4354","dave mason","jennifer warnes"
"4355","boz scaggs","amanda marshall"
"4356","bruce hornsby","carole king"
"4357","van morrison","tracy chapman"
"4358","jefferson starship","bruce springsteen"
"4359","little river band","billy joel"
"4360","stephen stills","carly simon"
"4361","pete townshend","mr. mister"
"4362","warren zevon","cutting crew"
"4363","jackson browne","eric carmen"
"4364","al stewart","glass tiger"
"4365","traveling wilburys","paul carrack"
"4366","jeff lynne","quarterflash"
"4367","julian lennon","daryl hall"
"4368","todd rundgren","john waite"
"4369","joe walsh","lou gramm"
"4370","robert plant","christopher cross"
"4371","pretenders","sheena easton"
"4372","mudcrutch","ambrosia"
"4373","rick springfield","john parr"
"4374","glass tiger","john waite"
"4375","glenn frey","go west"
"4376","night ranger","richard marx"
"4377","jefferson starship","the power station"
"4378","starship","lou gramm"
"4379","the babys","huey lewis & the news"
"4380","john parr","kim carnes"
"4381","head east","mr. mister"
"4382","gary wright","cutting crew"
"4383","atlanta rhythm section","richard marx"
"4384","ambrosia","johnny hates jazz"
"4385","joe walsh","the hooters"
"4386","38 special","chris de burgh"
"4387","three dog night","fine young cannibals"
"4388","paul davis","bruce hornsby"
"4389","billy squier","crosby, stills & nash"
"4390","38 special","poco"
"4391","jefferson starship","jim croce"
"4392","huey lewis & the news","gordon lightfoot"
"4393","boston","seals and crofts"
"4394","bachman-turner overdrive","firefall"
"4395","styx","dave mason"
"4396","heart","boz scaggs"
"4397","sammy hagar","bruce hornsby"
"4398","the babys","van morrison"
"4399","pat benatar","jefferson starship"
"4400","night ranger","little river band"
"4401","john mellencamp","stephen stills"
"4402","pablo cruise","pete townshend"
"4403","orleans","bob welch"
"4404","atlanta rhythm section","al stewart"
"4405","jefferson starship","traveling wilburys"
"4406","dan fogelberg","jeff lynne"
"4407","paul davis","julian lennon"
"4408","poco","boz scaggs"
"4409","pure prairie league","todd rundgren"
"4410","michael mcdonald","robert plant"
"4411","donald fagen","pretenders"
"4412","bob welch","mudcrutch"
"4413","poco","quarterflash"
"4414","jd souther","glenn frey"
"4415","pablo cruise","eddie money"
"4416","harry chapin","cutting crew"
"4417","orleans","night ranger"
"4418","atlanta rhythm section","38 special"
"4419","ambrosia","john parr"
"4420","jd souther","gary wright"
"4421","loggins & messina","atlanta rhythm section"
"4422","jesse colin young","the babys"
"4423","stephen stills","pablo cruise"
"4424","chris hillman","joe walsh"
"4425","new riders of the purple sage","eddie money"
"4426","bob welch","three dog night"
"4427","crosby, stills & nash","paul davis"
"4428","rick springfield","loverboy"
"4429","don henley","billy squier"
"4430","starship","huey lewis & the news"
"4431","daryl hall & john oates","joe walsh"
"4432","steve perry","boston"
"4433","the romantics","bachman-turner overdrive"
"4434","38 special","styx"
"4435","kenny loggins","heart"
"4436","corey hart","sammy hagar"
"4437","the cars","pat benatar"
"4438","billy squier","john mellencamp"
"4439","glenn frey","gino vannelli"
"4440","howard jones","jefferson starship"
"4441","abc","dan fogelberg"
"4442","the romantics","paul davis"
"4443","nik kershaw","pure prairie league"
"4444","bryan ferry","michael mcdonald"
"4445","thompson twins","donald fagen"
"4446","corey hart","pure prairie league"
"4447","john parr","jonathan edwards"
"4448","lou gramm","dan fogelberg"
"4449","mr. mister","poco"
"4450","steve perry","jd souther"
"4451","john waite","the ozark mountain daredevils"
"4452","quarterflash","harry chapin"
"4453","red rider","jesse colin young"
"4454","platinum blonde","orleans"
"4455","gowan","boz scaggs"
"4456","benjamin orr","bob welch"
"4457","tom cochrane","crosby, stills & nash"
"4458","gary wright","the ozark mountain daredevils"
"4459","bob welch","loggins & messina"
"4460","ambrosia","jesse colin young"
"4461","poco","jonathan edwards"
"4462","paul davis","stephen stills"
"4463","the ozark mountain daredevils","new riders of the purple sage"
"4464","loggins & messina","jefferson starship"
"4465","player","pablo cruise"
"4466","england dan & john ford coley","crosby, stills & nash"
"4467","england dan & john ford coley","pat benatar"
"4468","art garfunkel","daryl hall & john oates"
"4469","poco","steve perry"
"4470","david gates","the romantics"
"4471","ambrosia","38 special"
"4472","harry chapin","kenny loggins"
"4473","bread","robert palmer"
"4474","rita coolidge","the cars"
"4475","captain & tennille","the j. geils band"
"4476","melissa manchester","billy squier"
"4477","robbie dupree","level 42"
"4478","player","the power station"
"4479","nicolette larson","wang chung"
"4480","christopher cross","glenn frey"
"4481","little river band","howard jones"
"4482","england dan & john ford coley","abc"
"4483","melissa manchester","the romantics"
"4484","captain & tennille","nik kershaw"
"4485","dan fogelberg","bryan ferry"
"4486","robert john","thompson twins"
"4487","david gates","rick springfield"
"4488","jackson browne","pure prairie league"
"4489","loverboy","player"
"4490","firefall","stephen bishop"
"4491","mike + the mechanics","england dan & john ford coley"
"4492","the doobie brothers","dave mason"
"4493","robert palmer","stephen bishop"
"4494","mike + the mechanics","orleans"
"4495","eddie money","england dan & john ford coley"
"4496","mr. mister","art garfunkel"
"4497","ambrosia","poco"
"4498","boz scaggs","david gates"
"4499","the j. geils band","ambrosia"
"4500","38 special","bread"
"4501","wang chung","rita coolidge"
"4502","atlanta rhythm section","captain & tennille"
"4503","christopher cross","melissa manchester"
"4504","bruce hornsby","robbie dupree"
"4505","jackson browne","player"
"4506","joan osborne","stephen bishop"
"4507","melissa etheridge","nicolette larson"
"4508","joshua kadison","orleans"
"4509","bonnie raitt","bertie higgins"
"4510","shawn colvin","bob welch"
"4511","natalie merchant","christopher cross"
"4512","sheryl crow","little river band"
"4513","jennifer warnes","england dan & john ford coley"
"4514","amanda marshall","melissa manchester"
"4515","tracy chapman","captain & tennille"
"4516","van morrison","gary wright"
"4517","bruce springsteen","dan fogelberg"
"4518","billy joel","robert john"
"4519","carly simon","david gates"
"4520","mr. mister","steve winwood"
"4521","paul davis","jefferson starship"
"4522","eric carmen","john mellencamp"
"4523","peter cetera","38 special"
"4524","quarterflash","the j. geils band"
"4525","daryl hall","mr. mister"
"4526","john waite","loverboy"
"4527","lou gramm","steve perry"
"4528","christopher cross","firefall"
"4529","sheena easton","mike + the mechanics"
"4530","ambrosia","the doobie brothers"
"4531","john parr","glenn frey"
"4532","wang chung","mike + the mechanics"
"4533","go west","eddie money"
"4534","paul young","glass tiger"
"4535","huey lewis & the news","wang chung"
"4536","kim carnes","atlanta rhythm section"
"4537","nik kershaw","christopher cross"
"4538","mr. mister","shawn mullins"
"4539","paul carrack","jackson browne"
"4540","richard marx","joan osborne"
"4541","johnny hates jazz","james taylor"
"4542","robert palmer","melissa etheridge"
"4543","nik kershaw","bonnie raitt"
"4544","level 42","shawn colvin"
"4545","the hooters","natalie merchant"
"4546","glenn frey","sheryl crow"
"4547","don henley","jennifer warnes"
"4548","chris de burgh","amanda marshall"
"4549","cock robin","carole king"
"4550","go west","tracy chapman"
"4551","starship","van morrison"
"4552","fine young cannibals","bruce springsteen"
"4553","bruce hornsby","billy joel"
"4554","glass tiger","carly simon"
"4555","crosby, stills & nash","mr. mister"
"4556","warren zevon","paul davis"
"4557","dan fogelberg","eric carmen"
"4558","seals and crofts","peter cetera"
"4559","dave mason","quarterflash"
"4560","boz scaggs","daryl hall"
"4561","van morrison","john waite"
"4562","little river band","sheena easton"
"4563","stephen stills","ambrosia"
"4564","christine mcvie","cutting crew"
"4565","pete townshend","corey hart"
"4566","warren zevon","john parr"
"4567","jackson browne","john waite"
"4568","al stewart","glenn frey"
"4569","traveling wilburys","glass tiger"
"4570","jeff lynne","richard marx"
"4571","julian lennon","steve perry"
"4572","boz scaggs","the power station"
"4573","todd rundgren","lou gramm"
"4574","joe walsh","paul young"
"4575","robert plant","huey lewis & the news"
"4576","pretenders","kim carnes"
"4577","mudcrutch","nik kershaw"
"4578","lou gramm","mr. mister"
"4579","john waite","cutting crew"
"4580","rick springfield","paul carrack"
"4581","glass tiger","robert palmer"
"4582","eddie money","level 42"
"4583","cutting crew","the hooters"
"4584","night ranger","don henley"
"4585","jefferson starship","cock robin"
"4586","starship","go west"
"4587","the babys","fine young cannibals"
"4588","head east","james taylor"
"4589","gary wright","crosby, stills & nash"
"4590","ambrosia","warren zevon"
"4591","the j. geils band","jim croce"
"4592","bob welch","gordon lightfoot"
"4593","loverboy","dave mason"
"4594","38 special","boz scaggs"
"4595","three dog night","jefferson starship"
"4596","bachman-turner overdrive","stephen stills"
"4597","loverboy","christine mcvie"
"4598","billy squier","pete townshend"
"4599","38 special","warren zevon"
"4600","don henley","jackson browne"
"4601","joe walsh","al stewart"
"4602","bachman-turner overdrive","traveling wilburys"
"4603","styx","jeff lynne"
"4604","heart","julian lennon"
"4605","sammy hagar","boz scaggs"
"4606","the babys","todd rundgren"
"4607","head east","joe walsh"
"4608","pat benatar","robert plant"
"4609","night ranger","pretenders"
"4610","john mellencamp","mudcrutch"
"4611","little river band","quarterflash"
"4612","gino vannelli","cutting crew"
"4613","dan fogelberg","night ranger"
"4614","paul davis","38 special"
"4615","michael mcdonald","the babys"
"4616","donald fagen","john parr"
"4617","jonathan edwards","gary wright"
"4618","poco","atlanta rhythm section"
"4619","dave mason","the babys"
"4620","jd souther","the j. geils band"
"4621","harry chapin","joe walsh"
"4622","jesse colin young","eddie money"
"4623","crosby, stills & nash","bachman-turner overdrive"
"4624","jd souther","billy squier"
"4625","the ozark mountain daredevils","the j. geils band"
"4626","jesse colin young","don henley"
"4627","atlanta rhythm section","jefferson starship"
"4628","jonathan edwards","huey lewis & the news"
"4629","stephen stills","joe walsh"
"4630","chris hillman","boston"
"4631","new riders of the purple sage","bachman-turner overdrive"
"4632","jefferson starship","styx"
"4633","orleans","head east"
"4634","bob welch","pat benatar"
"4635","crosby, stills & nash","night ranger"
"4636","little river band","john mellencamp"
"4637","glenn frey","dave mason"
"4638","daryl hall & john oates","atlanta rhythm section"
"4639","steve perry","gino vannelli"
"4640","the romantics","jefferson starship"
"4641","kenny loggins","paul davis"
"4642","robert palmer","pure prairie league"
"4643","the cars","michael mcdonald"
"4644","the j. geils band","donald fagen"
"4645","billy squier","bob welch"
"4646","fine young cannibals","pure prairie league"
"4647","level 42","jonathan edwards"
"4648","the power station","dan fogelberg"
"4649","glenn frey","harry chapin"
"4650","howard jones","jesse colin young"
"4651","abc","orleans"
"4652","the romantics","atlanta rhythm section"
"4653","joe jackson","little river band"
"4654","nik kershaw","jefferson starship"
"4655","bryan ferry","bob welch"
"4656","thompson twins","ambrosia"
"4657","rick springfield","crosby, stills & nash"
"4658","john parr","jd souther"
"4659","cutting crew","the ozark mountain daredevils"
"4660","mr. mister","loggins & messina"
