"","Vertex1","Vertex2"
"425","joshua kadison","go west"
"426","bonnie raitt","johnny hates jazz"
"427","shawn colvin","glenn frey"
"428","natalie merchant","rick springfield"
"429","sheryl crow","glass tiger"
"430","jennifer warnes","richard marx"
"431","amanda marshall","steve perry"
"432","carole king","the power station"
"433","tracy chapman","lou gramm"
"434","van morrison","paul young"
"435","bruce springsteen","huey lewis & the news"
"436","billy joel","kim carnes"
"437","carly simon","nik kershaw"
"438","mr. mister","cutting crew"
"439","cutting crew","paul carrack"
"440","steve perry","paul young"
"441","rick springfield","richard marx"
"442","paul davis","johnny hates jazz"
"443","eric carmen","robert palmer"
"444","corey hart","nik kershaw"
"445","glass tiger","level 42"
"446","peter cetera","the hooters"
"447","paul carrack","glenn frey"
"448","quarterflash","don henley"
"449","daryl hall","chris de burgh"
"450","starship","cock robin"
"451","john waite","go west"
"452","lou gramm","starship"
"453","christopher cross","fine young cannibals"
"454","sheena easton","bruce hornsby"
"455","ambrosia","glass tiger"
"456","cutting crew","james taylor"
"457","corey hart","crosby, stills & nash"
"458","john parr","poco"
"459","starship","loggins & messina"
"460","mike + the mechanics","don henley"
"461","wang chung","warren zevon"
"462","john waite","dan fogelberg"
"463","go west","jim croce"
"464","johnny hates jazz","gordon lightfoot"
"465","glenn frey","pure prairie league"
"466","rick springfield","seals and crofts"
"467","glass tiger","firefall"
"468","richard marx","dave mason"
"469","steve perry","boz scaggs"
"470","the power station","bruce hornsby"
"471","lou gramm","van morrison"
"472","paul young","steve winwood"
"473","huey lewis & the news","jefferson starship"
"474","kim carnes","little river band"
"475","nik kershaw","stephen stills"
"476","mr. mister","christine mcvie"
"477","cutting crew","pete townshend"
"478","paul carrack","warren zevon"
"479","paul young","bruce hornsby"
"480","richard marx","glenn frey"
"481","johnny hates jazz","don henley"
"482","robert palmer","jackson browne"
"483","nik kershaw","bob welch"
"484","level 42","al stewart"
"485","the hooters","jefferson starship"
"486","glenn frey","traveling wilburys"
"487","don henley","jeff lynne"
"488","chris de burgh","julian lennon"
"489","cock robin","boz scaggs"
"490","go west","todd rundgren"
"491","starship","joe walsh"
"492","fine young cannibals","robert plant"
"493","bruce hornsby","pretenders"
"494","glass tiger","mudcrutch"
"495","james taylor","lou gramm"
"496","crosby, stills & nash","john waite"
"497","poco","rick springfield"
"498","loggins & messina","loverboy"
"499","don henley","quarterflash"
"500","warren zevon","mr. mister"
"501","dan fogelberg","glass tiger"
"502","jim croce","glenn frey"
"503","gordon lightfoot","corey hart"
"504","pure prairie league","eddie money"
"505","seals and crofts","cutting crew"
"506","firefall","reo speedwagon"
"507","dave mason","night ranger"
"508","boz scaggs","38 special"
"509","bruce hornsby","jefferson starship"
"510","van morrison","starship"
"511","jefferson starship","the babys"
"512","little river band","john parr"
"513","stephen stills","huey lewis & the news"
"514","christine mcvie","head east"
"515","pete townshend","gary wright"
"516","warren zevon","firefall"
"517","glenn frey","atlanta rhythm section"
"518","don henley","ambrosia"
"519","jackson browne","the babys"
"520","steve winwood","the j. geils band"
"521","al stewart","pablo cruise"
"522","jefferson starship","joe walsh"
"523","traveling wilburys","eddie money"
"524","jeff lynne","loverboy"
"525","boz scaggs","poco"
"526","todd rundgren","orleans"
"527","joe walsh","pure prairie league"
"528","robert plant","three dog night"
"529","pretenders","paul davis"
"530","mudcrutch","bachman-turner overdrive"
"531","lou gramm","loverboy"
"532","john waite","billy squier"
"533","rick springfield","38 special"
"534","loverboy","the j. geils band"
"535","quarterflash","rick springfield"
"536","mr. mister","reo speedwagon"
"537","glass tiger","don henley"
"538","glenn frey","jefferson starship"
"539","corey hart","huey lewis & the news"
"540","eddie money","joe walsh"
"541","cutting crew","boston"
"542","reo speedwagon","bachman-turner overdrive"
"543","night ranger","styx"
"544","jefferson starship","sammy hagar"
"545","starship","the babys"
"546","don henley","head east"
"547","the babys","pat benatar"
"548","john parr","night ranger"
"549","huey lewis & the news","john mellencamp"
"550","head east","ambrosia"
"551","gary wright","pablo cruise"
"552","firefall","seals and crofts"
"553","little river band","loggins & messina"
"554","atlanta rhythm section","little river band"
"555","ambrosia","firefall"
"556","the babys","dave mason"
"557","the j. geils band","stephen bishop"
"558","bob welch","orleans"
"559","pablo cruise","atlanta rhythm section"
"560","joe walsh","gino vannelli"
"561","eddie money","jefferson starship"
"562","loverboy","dan fogelberg"
"563","38 special","paul davis"
"564","orleans","pure prairie league"
"565","pure prairie league","nicolette larson"
"566","three dog night","michael mcdonald"
"567","paul davis","donald fagen"
"568","bachman-turner overdrive","bob welch"
"569","loverboy","pure prairie league"
"570","billy squier","jonathan edwards"
"571","38 special","dan fogelberg"
"572","the j. geils band","seals and crofts"
"573","rick springfield","poco"
"574","jefferson starship","jd souther"
"575","huey lewis & the news","the ozark mountain daredevils"
"576","joe walsh","pablo cruise"
"577","boston","harry chapin"
"578","bachman-turner overdrive","jesse colin young"
"579","styx","orleans"
"580","heart","atlanta rhythm section"
"581","sammy hagar","little river band"
"582","the babys","jefferson starship"
"583","head east","boz scaggs"
"584","pat benatar","bob welch"
"585","night ranger","ambrosia"
"586","john mellencamp","crosby, stills & nash"
"587","pablo cruise","jd souther"
"588","seals and crofts","firefall"
"589","loggins & messina","the ozark mountain daredevils"
"590","stephen bishop","atlanta rhythm section"
"591","orleans","jonathan edwards"
"592","atlanta rhythm section","stephen stills"
"593","gino vannelli","chris hillman"
"594","jefferson starship","new riders of the purple sage"
"595","dan fogelberg","jefferson starship"
"596","paul davis","dan fogelberg"
"597","poco","seals and crofts"
"598","pure prairie league","pablo cruise"
"599","nicolette larson","orleans"
"600","donald fagen","crosby, stills & nash"
"601","jonathan edwards","don henley"
"602","dan fogelberg","eddie money"
"603","seals and crofts","loverboy"
"604","poco","mr. mister"
"605","dave mason","glenn frey"
"606","jd souther","pat benatar"
"607","the ozark mountain daredevils","starship"
