"","Vertex1","Vertex2","Vertex1 popularity","Vertex1 followers","Vertex1 profile","Vertex1 images","Vertex1 genre","Vertex2 popularity","Vertex2 followers","Vertex2 profile","Vertex2 images","Vertex2 genre"
"3843","loverboy","styx",54,753417,"https://open.spotify.com/artist/2CLVPk9FcywjClBcTvWPkT","https://i.scdn.co/image/ab6761610000517402a7fb52455eea92035311dc","classic canadian rock",61,1633076,"https://open.spotify.com/artist/4salDzkGmfycRqNUbyBphh","https://i.scdn.co/image/ab67616100005174fef3008e708e59efaa5667ed","art rock"
"3844","poco","sammy hagar",45,211014,"https://open.spotify.com/artist/0fyqyjD7pbaVzbu94ylWQR","https://i.scdn.co/image/8f808de6ce1199bf374db32a04283d79e5bb4673","classic rock",54,808139,"https://open.spotify.com/artist/1hXjTjJzZTXDZ75AclOo6N","https://i.scdn.co/image/ab676161000051749dc3e6da940b26f4695adc3b","classic rock"
"3845","pure prairie league","heart",47,212184,"https://open.spotify.com/artist/1MXwwmS2JpmsHZhdMeOL2s","https://i.scdn.co/image/8a7633fe877372b873e9a561d2d34c77de75d3c3","classic rock",65,2106872,"https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv","https://i.scdn.co/image/6537feaf4a9da588202c9aa494dcc9b02f246ff5","classic rock"
"3846","dave mason","steve perry",43,154814,"https://open.spotify.com/artist/2DWQX92uew7DlsgN0yD775","https://i.scdn.co/image/12bb289439585710d9d3fec856d27bc76e6d2156","art rock",57,527267,"https://open.spotify.com/artist/5xQKoGD7Ql92fWd1uWwKkf","https://i.scdn.co/image/ab6761610000517474b5ad3c74225ab1c7b31665","mellow gold"
"3847","paul davis","the cars",44,117464,"https://open.spotify.com/artist/6EJmqnuK0r6qiAevFFiNNR","https://i.scdn.co/image/7fb9a7adf5fe2603da53a149407788ac8fd36b5d","bubblegum pop",64,1490137,"https://open.spotify.com/artist/6DCIj8jNaNpBz8e5oKFPtp","https://i.scdn.co/image/8d639299dee8947d3142135f4f84dff636ff9516","art rock"
"3848","huey lewis & the news","kim carnes",62,1342993,"https://open.spotify.com/artist/7A9yZMTrFZcgEWAX2kBfK6","https://i.scdn.co/image/ab676161000051748dfb95eb4902b28206963614","classic rock",60,262460,"https://open.spotify.com/artist/5PN2aHIvLEM98XIorsPMhE","https://i.scdn.co/image/ab676161000051741ba0c0b42be17d19a8d67d15","new romantic"
"3849","eric carmen","howard jones",59,291937,"https://open.spotify.com/artist/2ekjTXgjxbWwBX5lTAj4DU","https://i.scdn.co/image/b418a2d5dd360a27bbe6bb3bf80246a64eb992e2","album rock",49,361214,"https://open.spotify.com/artist/6loBF9iQdE11WSX29fNKqY","https://i.scdn.co/image/ab6761610000517493e7c004e39b91f88d1088af","new romantic"
"3850","peter cetera","nik kershaw",59,786850,"https://open.spotify.com/artist/5xWPOujQqd4wXyB08slZ9Z","https://i.scdn.co/image/8d734393d132bf93acab534772bfd441aa3407f1","mellow gold",54,272339,"https://open.spotify.com/artist/7kCL98rPFsNKjAHDmWrMac","https://i.scdn.co/image/ab6761610000517468a6b441e694ee02110b44a1","mellow gold"
"3851","wang chung","go west",52,276537,"https://open.spotify.com/artist/6Zh3xrWlA0SA9Fsfj9AVwm","https://i.scdn.co/image/3cc6fe2f6ee10954302d1b24dacc140585fedbd8","mellow gold",48,221461,"https://open.spotify.com/artist/7bKupnlF7XOfR1En3K8oAL","https://i.scdn.co/image/f26cd438ecc03700b192ce8ad90e775897a2edfe","new romantic"
"3852","kenny loggins","climie fisher",67,904323,"https://open.spotify.com/artist/3Y3xIwWyq5wnNHPp5gPjOW","https://i.scdn.co/image/ab67616100005174e5ade0d346536449c7a75b48","mellow gold",47,58733,"https://open.spotify.com/artist/3bpvhFSIErguVNQUiutctF","https://i.scdn.co/image/22ac371ba75f5ce54d4039609907cd00ab524676","new wave pop"
"3853","johnny hates jazz","thompson twins",50,180119,"https://open.spotify.com/artist/6zpPKMhpOoG646kJgZ7RKf","https://i.scdn.co/image/ab6761610000517404f617be75de19acb3b08df0","new romantic",50,569299,"https://open.spotify.com/artist/5jVeqi3PNaTOajfvBa4uFn","https://i.scdn.co/image/ab67616100005174e1d9c03cc2d86e3babc83c59","new romantic"
"3854","the outfield","spandau ballet",63,508512,"https://open.spotify.com/artist/1zxDewzd2j1ZdSBGaYcr0y","https://i.scdn.co/image/236413fe5f7998434765548173bc79327a319606","mellow gold",59,1092049,"https://open.spotify.com/artist/2urZrEdsq72kx0UzfYN8Yv","https://i.scdn.co/image/6d8a0cc2f16d44a982e1452b333d59162b0b879b","new romantic"
"3855","heart","bad english",65,2106872,"https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv","https://i.scdn.co/image/6537feaf4a9da588202c9aa494dcc9b02f246ff5","classic rock",48,285557,"https://open.spotify.com/artist/5fhMbh4PVSLSODF2fhWwqt","https://i.scdn.co/image/0900e9f9569f452ceab5a3e8c5f01bd71f85f30e","glam metal"
"3856","boston","damn yankees",64,2301231,"https://open.spotify.com/artist/29kkCKKGXheHuoO829FxWK","https://i.scdn.co/image/91457d2e1cd0e38d1b0af68699aeb85416dd4ab8","classic rock",45,449589,"https://open.spotify.com/artist/7ihLzUpuNecU5VBkvOUDNq","https://i.scdn.co/image/a0150faf82fcab9bbb9ed98cda27823994ec3833","classic rock"
